101_1.wsq: is A; nn: hyp R, conf 0.56; conup n; hyp R, conf 0.56; wrong
104_2.wsq: is A; nn: hyp L, conf 0.95; conup n; hyp L, conf 0.95; wrong
104_3.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
104_4.wsq: is A; nn: hyp L, conf 0.98; conup n; hyp L, conf 0.98; wrong
104_5.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
104_6.wsq: is A; nn: hyp L, conf 0.97; conup n; hyp L, conf 0.97; wrong
104_7.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
104_8.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
105_1.wsq: is A; nn: hyp R, conf 0.61; conup n; hyp R, conf 0.61; wrong
105_2.wsq: is A; nn: hyp L, conf 0.98; conup n; hyp L, conf 0.98; wrong
105_3.wsq: is A; nn: hyp R, conf 0.58; conup n; hyp R, conf 0.58; wrong
105_4.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
105_5.wsq: is A; nn: hyp L, conf 0.75; conup n; hyp L, conf 0.75; wrong
105_6.wsq: is A; nn: hyp R, conf 0.70; conup n; hyp R, conf 0.70; wrong
105_7.wsq: is A; nn: hyp L, conf 0.68; conup n; hyp L, conf 0.68; wrong
105_8.wsq: is A; nn: hyp L, conf 0.79; conup n; hyp L, conf 0.79; wrong
106_1.wsq: is A; nn: hyp R, conf 0.93; conup n; hyp R, conf 0.93; wrong
106_2.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
106_3.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
106_4.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
106_5.wsq: is A; nn: hyp R, conf 0.47; conup n; hyp R, conf 0.47; wrong
106_6.wsq: is A; nn: hyp R, conf 0.96; conup n; hyp R, conf 0.96; wrong
106_7.wsq: is A; nn: hyp R, conf 0.75; conup n; hyp R, conf 0.75; wrong
106_8.wsq: is A; nn: hyp R, conf 0.79; conup n; hyp R, conf 0.79; wrong
107_1.wsq: is A; nn: hyp L, conf 0.98; conup n; hyp L, conf 0.98; wrong
107_2.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
107_3.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
107_4.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
107_5.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
107_6.wsq: is A; nn: hyp L, conf 0.97; conup n; hyp L, conf 0.97; wrong
107_7.wsq: is A; nn: hyp L, conf 0.89; conup n; hyp L, conf 0.89; wrong
107_8.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
108_1.wsq: is A; nn: hyp L, conf 0.62; conup n; hyp L, conf 0.62; wrong
108_2.wsq: is A; nn: hyp L, conf 0.92; conup n; hyp L, conf 0.92; wrong
108_3.wsq: is A; nn: hyp L, conf 0.90; conup n; hyp L, conf 0.90; wrong
108_4.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
108_5.wsq: is A; nn: hyp L, conf 0.96; conup n; hyp L, conf 0.96; wrong
108_6.wsq: is A; nn: hyp L, conf 0.98; conup n; hyp L, conf 0.98; wrong
108_7.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
108_8.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
109_1.wsq: is A; nn: hyp W, conf 1.00; conup y; hyp W, conf 1.00; wrong
109_2.wsq: is A; nn: hyp W, conf 0.89; conup y; hyp W, conf 1.00; wrong
109_3.wsq: is A; nn: hyp W, conf 0.98; conup y; hyp W, conf 1.00; wrong
109_4.wsq: is A; nn: hyp W, conf 0.98; conup y; hyp W, conf 1.00; wrong
109_5.wsq: is A; nn: hyp W, conf 1.00; conup y; hyp W, conf 1.00; wrong
109_6.wsq: is A; nn: hyp W, conf 0.98; conup y; hyp W, conf 1.00; wrong
109_7.wsq: is A; nn: hyp W, conf 1.00; conup y; hyp W, conf 1.00; wrong
109_8.wsq: is A; nn: hyp W, conf 0.96; conup y; hyp W, conf 1.00; wrong
110_1.wsq: is A; nn: hyp W, conf 0.98; conup y; hyp W, conf 1.00; wrong
110_2.wsq: is A; nn: hyp W, conf 0.91; conup y; hyp W, conf 1.00; wrong
110_3.wsq: is A; nn: hyp W, conf 0.82; conup y; hyp W, conf 1.00; wrong
110_4.wsq: is A; nn: hyp W, conf 0.93; conup y; hyp W, conf 1.00; wrong
110_5.wsq: is A; nn: hyp W, conf 1.00; conup y; hyp W, conf 1.00; wrong
110_6.wsq: is A; nn: hyp W, conf 0.78; conup y; hyp W, conf 1.00; wrong
110_7.wsq: is A; nn: hyp W, conf 0.62; conup y; hyp W, conf 1.00; wrong
110_8.wsq: is A; nn: hyp W, conf 0.92; conup y; hyp W, conf 1.00; wrong

pct error: 100.00

          A           L           R           S           T           W 
A     0(  0.0)   39( 48.8)   25( 31.2)    0(  0.0)    0(  0.0)   16( 20.0)
L     0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )
R     0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )
S     0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )
T     0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )
W     0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )    0(  -  )
